ranking,score,aid,bvid,cid,title,uploader,play,like,coin,star,cover_url,pubtime,k,o_title
1131,0,607760304,BV1H84y1h7wi,967011397,"""秋叶随风飞舞的声音,是我凄凉的交响曲",懒猩星,282,96,40,15,http://i0.hdslb.com/bfs/archive/1db3cd9e8f1d99137b4e0e208a276ce4445db4e4.jpg,2023/1/15 19:00,1,"""秋叶随风飞舞的声音,是我凄凉的交响曲"
1132,0,477774833,BV1qK411C7Ep,967179980,【新人&派大星】有何不可【行不行啊，撑得住一分钟吗你】,比奇堡的毅声君,281,29,15,10,http://i0.hdslb.com/bfs/archive/e4ca443fd2b62bb17d6bce2245880914e091ed92.jpg,2023/1/15 18:59,1,【新人&派大星】有何不可【行不行啊，撑得住一分钟吗你】
1133,0,480365769,BV15T411m7wK,967157994,【红楼梦】宝黛 “如果在十八，我没能送你____”,白玉簪配通灵,3807,327,65,70,http://i1.hdslb.com/bfs/archive/8bb691b15507904b2cc7a2c54642689b002e6e89.jpg,2023/1/15 18:44,1,【红楼梦】宝黛 “如果在十八，我没能送你____”
1134,0,862842549,BV13G4y1C7a1,967144519,行运一条龙_衣冠情兽，人面兽心啊,chongchongnai,16,6,0,0,http://i0.hdslb.com/bfs/archive/bbe90ac0416e3318ea198ed4ff01feb7ed5650e8.jpg,2023/1/15 18:34,1,行运一条龙_衣冠情兽，人面兽心啊
1135,0,222762500,BV1v8411N7sL,967142025,♿电棍若子炫狗联盟♿（妄想感伤代偿联盟）,幻想乡第一乡长,35946,4106,2190,2112,http://i2.hdslb.com/bfs/archive/5e270225fd6400c428b61306f307c735a32da8b2.jpg,2023/1/15 18:30,1,♿电棍若子炫狗联盟♿（妄想感伤代偿联盟）
1136,0,735336886,BV1gD4y1H7kA,967005573,【蔡徐坤】🐔家有（坤坤）儿女🐔,低端局小黑子,1400,140,27,49,http://i2.hdslb.com/bfs/archive/44a970c81f8667e1d2d10e3f70c1656950b6899a.jpg,2023/1/15 18:08,1,【蔡徐坤】🐔家有（坤坤）儿女🐔
1137,0,990372881,BV1kx4y137Jj,967105004,民法AL带写十八天 做题复盘与总结,别把正念弄丢啦,27,1,0,0,http://i0.hdslb.com/bfs/archive/65dbe9c821be69cb4d2f3828fe8dba8854eea565.jpg,2023/1/15 18:04,1,民法AL带写十八天 做题复盘与总结
1138,0,307852599,BV1KA411o7dj,966835423,不过是上山的人 怎么嘲笑下山的「神」,逗比宇,7544,1069,134,133,http://i2.hdslb.com/bfs/archive/2e5db20b5c60601dbed18c55d544c1db51abb8c3.jpg,2023/1/15 18:00,1,不过是上山的人 怎么嘲笑下山的「神」
1139,0,735280621,BV1eD4y1W73G,967029181,【富士山下填词】你在搞一种很新的填词方式,过客张三,22636,1238,432,177,http://i2.hdslb.com/bfs/archive/97a291fef6c539b513fb32d2f449b94f118ccc2d.jpg,2023/1/15 17:57,1,【富士山下填词】你在搞一种很新的填词方式
1140,0,392818033,BV13d4y1L771,967078429,“特工的爱，就是试图把大伙陷害”,看似正经的阿城,273,44,19,19,http://i2.hdslb.com/bfs/archive/eca5f5ddfe5c6b5ba3634f55e334554fdcf91126.jpg,2023/1/15 17:44,1,“特工的爱，就是试图把大伙陷害”
1141,0,222759218,BV1Y8411N7Uy,967027671,⚡”如果在十八，咖啡没倒给她“⚡,idiot菌,4731,508,111,103,http://i0.hdslb.com/bfs/archive/1e1c3f67b1c8cd98b6ab403e785c91438d798d18.jpg,2023/1/15 17:38,1,⚡”如果在十八，咖啡没倒给她“⚡
1142,0,307810649,BV1RA411d7c9,966980749,⚡病名为马⚡,想摸鱼的屑,418,45,5,3,http://i2.hdslb.com/bfs/archive/5061b9aa4a75a1b1a1f78fd8b414e5ee302c24e3.jpg,2023/1/15 16:41,1,⚡病名为马⚡
1143,0,735276938,BV1YD4y1W7TX,966922824,“那年我十八，党的任务派发”,剧情真的非常多糖,7587,731,57,119,http://i2.hdslb.com/bfs/archive/a585e9704c53694b47831e0ec433916d7c84a567.jpg,2023/1/15 16:05,1,“那年我十八，党的任务派发”
1144,0,905335799,BV1bP4y1k7am,966898834,【只因】⚡恭喜发财⚡,阿福坐火箭,4582,278,24,72,http://i2.hdslb.com/bfs/archive/46e8815f4bdfb41be3f6903ecd23592e24854889.jpg,2023/1/15 15:49,1,【只因】⚡️恭喜发财⚡️
1145,0,265315076,BV1GY41197au,966912037,安德鲁加菲的笑声洗脑一分钟,不充Q币就吃奥里给,206,27,2,1,http://i1.hdslb.com/bfs/archive/9aa05578c3324b2640a06410f0fc40a002316760.jpg,2023/1/15 15:44,1,安德鲁加菲的笑声洗脑一分钟
1146,0,820346089,BV1yG4y1c7AS,966217645,核 爆 羌 曲,Nahida丶327,328,31,10,7,http://i1.hdslb.com/bfs/archive/8b08e06dfea0da2f70cb62d0b04246209cac9bab.jpg,2023/1/15 15:15,1,核 爆 羌 曲
1147,0,565270998,BV1Cv4y1y76W,966858984,未命名,_Fukuro_,10207,915,480,454,http://i1.hdslb.com/bfs/archive/859f65cc27a15b7b56a900b738c6c2f436cedfd0.jpg,2023/1/15 15:01,1,未命名
1148,0,905273036,BV1MP4y1k7PT,966787138,年少轻狂，鲤鱼你要小心啊，别被抓到,bili_85185647610,3,0,0,0,http://i0.hdslb.com/bfs/archive/c65b3e6bfb66c04c95bd69d81cf622ff15eaf79f.jpg,2023/1/15 14:02,1,年少轻狂，鲤鱼你要小心啊，别被抓到
1149,0,350308726,BV16R4y1Y7Ba,966547789,【普通disco】原版MV+精心重制音乐,FLY-浩爷,13,4,2,1,http://i1.hdslb.com/bfs/archive/18954c0e4ef67614ac5597a9afed2643f116ae04.jpg,2023/1/15 14:00,1,【普通disco】原版MV+精心重制音乐
1150,0,735289018,BV12D4y1W74e,966725353,不是我说你(造纸匠),MC我的世界联机,17,1,0,0,http://i2.hdslb.com/bfs/archive/129cb9edaffac8838b65914e6ee3da5404b143c4.jpg,2023/1/15 13:14,1,不是我说你(造纸匠)
1151,0,735273873,BV1eD4y1W7wC,965716272,【异灵术&狗贼】“赐我一场相爱”,我是真的要强,9569,835,380,101,http://i1.hdslb.com/bfs/archive/504370cc50a00f4ad6fbbb9516ac36e301daea68.jpg,2023/1/15 13:00,1,【异灵术&狗贼】“赐我一场相爱”
1152,0,735272266,BV1hD4y1W72a,966638714,【姜云升】baby，衣服包包给你换新的,碎梦suim,93163,4955,1379,1321,http://i1.hdslb.com/bfs/archive/25572681f9d8131ae8b51e7d90d71cc1f0b8bfd8.jpg,2023/1/15 12:07,1,【姜云升】baby，衣服包包给你换新的
1153,0,565315075,BV1Mv4y11751,966417453,《孤独坷垃》——あのバンド（那个乐队）,寂寞君LonlM,338,79,11,23,http://i0.hdslb.com/bfs/archive/0f8f0e620df3cdb555b031d602fdaaf195f3b000.jpg,2023/1/15 12:00,1,《孤独坷垃》——あのバンド（那个乐队）
1154,0,307781362,BV1CA411d7sD,966223445,”铁窗里激情在燃烧，这炽热温度受不了“,AT-15A,18714,1502,289,323,http://i0.hdslb.com/bfs/archive/50cd0f6d74289dd142528f922bade5fda682cd46.jpg,2023/1/15 12:00,1,”铁窗里激情在燃烧，这炽热温度受不了“
1155,0,777874355,BV1914y1T7Gr,966602295,“赐我一场，祖国腾飞的梦”,剧情真的非常多糖,1063,134,22,43,http://i1.hdslb.com/bfs/archive/f20e6117eaa7645e1d9b32734a011c8f00f28604.jpg,2023/1/15 11:42,1,“赐我一场，祖国腾飞的梦”
1156,0,565368617,BV15v4y117sC,966080737,周星驰 · 夜曲,_灰雨_,145,46,19,5,http://i0.hdslb.com/bfs/archive/9a220b56f41aa22ebac6094f34e93c023723b69d.jpg,2023/1/15 11:00,1,周星驰 · 夜曲
1157,0,735338073,BV1gD4y1H7bg,966143238,东西二路魂，惊为有缘人,正在检查昵称,58,9,0,1,http://i0.hdslb.com/bfs/archive/656b4defe8fcd3a2abe9e0a2a1faf98f9d074870.jpg,2023/1/15 10:00,1,东西二路魂，惊为有缘人
1158,0,480274678,BV12T41127Ye,966005445,【鲤鱼Ace】“如果在十八，成为主播的话”,小葱Alex_,17640,1182,149,386,http://i2.hdslb.com/bfs/archive/fa042ae02f0c0d9811d69f19bf1b535b839d458e.jpg,2023/1/15 10:00,1,【鲤鱼Ace】“如果在十八，成为主播的话”
1159,0,265356768,BV1eY41197oc,966642183,“如果在十八，俊后生没长大”,AB鲜,39057,3395,531,743,http://i1.hdslb.com/bfs/archive/82d08ff775d96a20e913f29a6ec24b599481d030.jpg,2023/1/15 9:09,1,“如果在十八，俊后生没长大”
1160,0,947754660,BV1YW4y137ba,966008919,⚡赐我一串面筋⚡,EdaK丶,86,20,4,5,http://i1.hdslb.com/bfs/archive/c4e177e9ef46be7894a5f87c02bc0c0190b42de6.jpg,2023/1/15 8:05,1,⚡赐我一串面筋⚡
1161,0,820301215,BV18G4y1c7yC,966095924,蔡鸡  奥特曼  ：骑  鸡  再现,想要两万粉丝,269,35,2,4,http://i0.hdslb.com/bfs/archive/58a0b957c577755184bfb332ee383d1df9c526ba.jpg,2023/1/15 8:00,1,蔡鸡  奥特曼  ：骑  鸡  再现
1162,0,435372113,BV1v3411Z7dp,966130317,⚡ 苏 暖 暖 小 火 车 ⚡,S-Venti,1751,204,11,18,http://i2.hdslb.com/bfs/archive/34cddf320197414366cb929afc675e48c05cd7b5.jpg,2023/1/15 5:15,1,⚡ 苏 暖 暖 小 火 车 ⚡
1163,0,862848532,BV1sG4y1C7no,966219140,⚡我 在 几 百 年 前 就 是 个 天 才⚡,TTcw66,128,15,6,3,http://i2.hdslb.com/bfs/archive/64bb02ff7658c6734590caf1c038f36b23a666ab.jpg,2023/1/15 1:08,1,⚡️我 在 几 百 年 前 就 是 个 天 才⚡️
1164,0,350364645,BV1uR4y1e7us,966152337,请接听终极勇敢的手机铃声！,愉我所煜也,6388,561,162,166,http://i0.hdslb.com/bfs/archive/710e111638b5d1c0217b73a701c0be995f1092b0.jpg,2023/1/15 0:19,1,请接听终极勇敢的手机铃声！
1165,0,307805255,BV1cA411o7nr,966893686,【宇多田光】处处吻,罗曼诺夫桑,772,32,2,5,http://i0.hdslb.com/bfs/archive/22c93c8269e033a9242887f6677e3514d4069e0a.jpg,2023/1/14 23:56,1,【宇多田光】处处吻
1166,0,650358061,BV1Ye4y1F7Sz,966059213,恭喜JDG2:1战胜BLG！！也要恭喜Ruler选手拿到在LPL的第一个五杀！！！,古力饼初玖,81,3,2,1,http://i1.hdslb.com/bfs/archive/753f269e7f91a4fb228144925b8ddf504c181450.jpg,2023/1/14 22:53,1,恭喜JDG2:1战胜BLG！！也要恭喜Ruler选手拿到在LPL的第一个五杀！！！
1167,0,820362135,BV1FG4y1w7Gq,965944906,任何萨日朗，终将绳之以法！,永恒的小瓢虫,148,17,2,2,http://i0.hdslb.com/bfs/archive/b73eda410d2b5406aafe5e283daa67891cdcceaf.jpg,2023/1/14 22:15,1,任何萨日朗，终将绳之以法！
1168,0,565340581,BV1Nv4y117W9,965894750,当你坤哥看到μ’s的snow halation 后竟然.......,八月义妖,55,7,8,4,http://i2.hdslb.com/bfs/archive/c8431c60da998f36a580e7a42453698f13470aff.jpg,2023/1/14 21:23,1,当你坤哥看到μ’s的snow halation 后竟然.......
1169,0,735354417,BV1xD4y1H7Ts,965904776,⚡老 马 啊⚡,明天就上学啦,136,10,0,0,http://i1.hdslb.com/bfs/archive/f33cd4be2aaede46ee33bddfd414365ab885e98c.jpg,2023/1/14 21:14,1,⚡️老 马 啊⚡️
1170,0,522869077,BV1yM411b73q,965845585,欢欢乐乐结构化,温笑耻焰气,39961,10026,396,1556,http://i0.hdslb.com/bfs/archive/8c70280f44ccde7a665d6f44068de04086703041.jpg,2023/1/14 20:45,1,欢欢乐乐结构化
1171,0,307831531,BV1gA411o79Z,965845791,《prst lives》ikun版,ikun一缸鱼,112,2,2,2,http://i0.hdslb.com/bfs/archive/1834d0fb4123fa4775d3b4dc50fc218ddf5f520d.jpg,2023/1/14 20:32,1,《prst lives》ikun版
1172,0,692798416,BV1b24y1Y7S3,965832853,⚡只因，很简单⚡,阿福坐火箭,137,11,2,2,http://i2.hdslb.com/bfs/archive/2764c78e830d162a8eb7206647e744a818bb7787.jpg,2023/1/14 20:21,1,⚡️只因，很简单⚡️
1173,0,820362434,BV1fG4y1c7zD,965756301,⚡等我死后把我的《Bones》寄给老马⚡,Finbov_Dushb,806,94,19,21,http://i2.hdslb.com/bfs/archive/8c6efb5690b73795241554baf6ea914a2aa70651.jpg,2023/1/14 19:37,1,⚡等我死后把我的《Bones》寄给老马⚡
1174,0,350301463,BV1mR4y1Y7zM,965761404,【红警·电音】⚡磁 力 棒 不 妙 曲⚡,卿名雏荷,51211,4342,1160,1018,http://i2.hdslb.com/bfs/archive/7f3f9e51d9d12ea676086e16e70ed6ba40014119.jpg,2023/1/14 19:37,1,【红警·电音】⚡️磁 力 棒 不 妙 曲⚡️
1175,0,392847801,BV1Hd4y1L7d4,965731518,🍦本来挺喜欢莱万汀的🍦,时尚最时髦,44768,4876,502,1086,http://i1.hdslb.com/bfs/archive/1499acee9c8c43f0e3e8947f65dcef7d69480cb6.jpg,2023/1/14 19:11,1,🍦本来挺喜欢莱万汀的🍦
1176,0,650374780,BV1be4y1F7cV,965518903,妈妈生的⚡，但是法外狂徒,Not_a_Name,373,71,14,16,http://i2.hdslb.com/bfs/archive/b768f845fd429ebc1d219c12a79edfa1ad8c814e.jpg,2023/1/14 19:00,1,妈妈生的⚡️，但是法外狂徒
1177,0,307767657,BV1SA411d72Y,965684399,【金坷垃】孤 独 农 业,柴可夫柯基,17236,2408,808,760,http://i2.hdslb.com/bfs/archive/0ca0c2e1647b2d1c13e7a97ea97f3842d038221e.jpg,2023/1/14 18:34,1,【金坷垃】孤 独 农 业
1178,0,435365554,BV1C3411Z7Pk,965663802,【云堇】权御天下（高燃填词）,无限El,2923,190,43,79,http://i0.hdslb.com/bfs/archive/3e28b54b4dc8e18da9259d5e5184990463838534.jpg,2023/1/14 18:22,1,【云堇】权御天下（高燃填词）
1179,0,265284803,BV1ZY411y7wG,965583059,【牵丝戏&狂魔哥】牵魔戏-猎魔人第二首战歌（还是那句话，一天是猎魔人，一辈子都是！）,狗熊岭伐木人,58497,3729,738,599,http://i2.hdslb.com/bfs/archive/974d4cfe02c0532bbbe5695deed8271e9b849e57.jpg,2023/1/14 17:45,1,【牵丝戏&狂魔哥】牵魔戏-猎魔人第二首战歌（还是那句话，一天是猎魔人，一辈子都是！）
1180,0,435329788,BV1h3411Z7mJ,965596691,有   效   消   音,小高太厉害了,200,6,0,0,http://i0.hdslb.com/bfs/archive/b5f87ab92523b8017c459d9907f112b2d80f4596.jpg,2023/1/14 17:39,1,有   效   消   音
1181,0,650319743,BV1pe4y1F7im,965606025,【补档】丁真进军ACG圈，《Only My SMOKEGUN》空降B站,一方通彳亍Accelerator,663,74,8,16,http://i1.hdslb.com/bfs/archive/095c975c7a252d1bb1c12b254ad08c3d176271f8.jpg,2023/1/14 17:38,1,【补档】丁真进军ACG圈，《Only My SMOKEGUN》空降B站
1182,0,692754317,BV1s24y1Y7XZ,965385223,【川普】“终死犹闻侠骨香”,八日目,3979,33,8,16,http://i1.hdslb.com/bfs/archive/0058917442b4bfa174f2adb26264c584ce4abdcd.jpg,2023/1/14 17:30,1,【川普】“终死犹闻侠骨香”
1183,0,480263997,BV1XT41127q4,965644472,【电棍】“鞍山的汽笛在记忆里颠簸”,是浅歌同学,2045,256,89,93,http://i1.hdslb.com/bfs/archive/0ba44fae4e30a3bd83ef9b7bf4dfe0c663702d88.jpg,2023/1/14 17:16,1,【电棍】“鞍山的汽笛在记忆里颠簸”
1184,0,265251948,BV1mY411y7Jf,966085863,“如果在十八，我没能把你杀”,寒了个羽,23690,2695,339,853,http://i1.hdslb.com/bfs/archive/aba165c335b56256a19087ab580e654a82fe5e2d.jpg,2023/1/14 17:12,1,“如果在十八，我没能把你杀”
1185,0,820304126,BV1aG4y1c73A,965568417,🐔灰 色 头 像🐔,土逗学长,15061,1075,219,250,http://i2.hdslb.com/bfs/archive/7eb15825b15841cfd809c8ddd3d5b00f232fb87b.jpg,2023/1/14 17:08,1,🐔灰 色 头 像🐔
1186,0,820315086,BV12G4y1c7su,965559305,【爱情公寓】张伟⚡灌你一瓶肾宝⚡,我是丁有为,66,7,5,2,http://i1.hdslb.com/bfs/archive/f051f715cc5b743433c11278ca60d5af50ed180d.jpg,2023/1/14 17:05,1,【爱情公寓】张伟⚡️灌你一瓶肾宝⚡
1187,0,862827950,BV1EG4y1C7uX,965386672,【波澜哥】桃花笑,估计得GC,14,4,1,0,http://i1.hdslb.com/bfs/archive/0fd2a46fa915f2a391cab4b89f09d4d315c821eb.jpg,2023/1/14 17:00,1,【波澜哥】桃花笑
1188,0,392639956,BV1ud4y177KT,964005101,《反方向的钟》，但是谷歌翻译20次,玛珂娜,179170,11321,818,2197,http://i2.hdslb.com/bfs/archive/5fe17ce948787af7fd04bd41e2585e01e6f79831.jpg,2023/1/14 17:00,1,《反方向的钟》，但是谷歌翻译20次
1189,0,735321711,BV1LD4y1H7Hh,965518850,当年卢本伟能用20万赢到578万，我ikun也能从2016年黑到2023年,诗言在努力,43,7,1,2,http://i2.hdslb.com/bfs/archive/3896a9866bda611029cdd763f0865b7f1ed55f0d.jpg,2023/1/14 16:43,1,当年卢本伟能用20万赢到578万，我ikun也能从2016年黑到2023年
1190,0,905253470,BV1VP4y1k7Xt,965523287,中 国 好 声 鹰,远古大Dio丝,1859,182,20,20,http://i2.hdslb.com/bfs/archive/9949f07ac55970595fb4f63b96b0c54f806a09e0.jpg,2023/1/14 16:41,1,中 国 好 声 鹰
1191,0,265322438,BV1GY411972t,965457264,【罗翔】“如果在十八，我必遵纪守法”,王叔叔在吗_,1599,135,27,33,http://i1.hdslb.com/bfs/archive/7d910b7cc3a5ab93e33e81cef604d7107ee1ca31.jpg,2023/1/14 16:01,1,【罗翔】“如果在十八，我必遵纪守法”
1192,0,435303312,BV1s3411Z7go,965448163,“如果在十八，我没能劈你____”,白嫖客ovo,4044,477,60,129,http://i2.hdslb.com/bfs/archive/47f586ee0fe6680025d79f003391bf7f1cf1ab3c.jpg,2023/1/14 16:00,1,“如果在十八，我没能劈你____”
1193,0,522816153,BV1BM411b7uq,965462173,《只因咖啡》,小濂哦,50,2,0,0,http://i1.hdslb.com/bfs/archive/5aee89714c56830636d9c9768a08222034dec58a.jpg,2023/1/14 15:49,1,《只因咖啡》
1194,0,990313661,BV1px4y137sd,972152853,【波澜哥】【UTAU翻调】听到我,画质感人e,233,30,23,8,http://i2.hdslb.com/bfs/archive/1c03c4f7c1f0141ed2dbe2131fdd4afa2c6e87ac.jpg,2023/1/14 15:35,1,【波澜哥】【UTAU翻调】听到我
1195,0,307771261,BV1QA411d744,969629077,【蔡徐坤/调声晒】🐔鸡 美 高 原🐔,Grrrrass,3411,299,108,113,http://i1.hdslb.com/bfs/archive/7a6560139913a6a2a4f852ea7f203b1ccbce9208.jpg,2023/1/14 15:04,1,【蔡徐坤/调声晒】🐔鸡 美 高 原🐔
1196,0,392828282,BV1xd4y1L77y,965371118,【笑傲江湖】我是一条小青龙（我有许多小秘密）,晒然一笑,950,72,24,6,http://i1.hdslb.com/bfs/archive/f6a394aaa00a31e367212506d43e782dd5eb5090.jpg,2023/1/14 15:00,1,【笑傲江湖】我是一条小青龙（我有许多小秘密）
1197,0,392750951,BV1Qd4y157vj,965351925,⚡全明星⚡赐我一个正义，邪恶终将绳之以法⚡,胆小怕黑爱看鬼,46907,8243,552,3197,http://i0.hdslb.com/bfs/archive/a703005fa2315489b22c83f412d253579748c7e3.jpg,2023/1/14 14:54,1,⚡全明星⚡赐我一个正义，邪恶终将绳之以法⚡
1198,0,477778913,BV1BK411C7aj,965375573,”如果在十八，我没拿起竖笛“,渡河赏金杀手,34459,2574,458,794,http://i0.hdslb.com/bfs/archive/152849ca653ba79c616dd8068cf03d2ef12a3e4d.jpg,2023/1/14 14:52,1,”如果在十八，我没拿起竖笛“
1199,0,607864481,BV1y84y1h7bd,966477028,【只因】⚡Demons⚡,阿福坐火箭,352,25,2,5,http://i0.hdslb.com/bfs/archive/1d1a91fea80cb9221d6bd88a954dfc63d404a03b.jpg,2023/1/14 14:41,1,【只因】⚡️Demons⚡️
1200,0,650362653,BV1ve4y1F73j,968706227,❤Bet on 蜜❤,Minows,1215,162,24,50,http://i0.hdslb.com/bfs/archive/ba3227016a6e812fd54415b20ddfaebc9f2176d0.jpg,2023/1/14 14:32,1,❤️Bet on 蜜❤️
1201,0,692842685,BV1C24y1Y7cn,965364579,【孤独摇滚×东百往事】歌姬与贵物与沈阳大街,IyliaSovietskiy,298639,36118,10725,11804,http://i2.hdslb.com/bfs/archive/1b8b412ac1e3998bde89a1df6fdbfc0307f1c7dc.jpg,2023/1/14 14:31,1,【孤独摇滚×东百往事】歌姬与贵物与沈阳大街
1202,0,990207172,BV1Sx4y1g7ye,962023022,无聊时长两年半的up,叫我ydd,6,2,0,1,http://i2.hdslb.com/bfs/archive/749f697bf62e95979bfa81f93575d0bcc54b8bdb.jpg,2023/1/14 14:30,1,无聊时长两年半的up
1203,0,565307062,BV1dv4y1y7wk,965329855,utau 瞎做的 loser,某根不知名的芹菜,88,5,2,2,http://i0.hdslb.com/bfs/archive/f49b3213e0256297ee977d94835e9ffd485c12bf.jpg,2023/1/14 14:19,1,utau 瞎做的 loser
1204,0,477788261,BV16K411C7g5,965228769,⚡贾 级 饺 子 犯⚡,不服气的三好青年,499777,17781,758,1909,http://i1.hdslb.com/bfs/archive/0d290664e0a67c0be78fad3cde4720d551ca04a9.jpg,2023/1/14 13:18,1,⚡贾 级 饺 子 犯⚡
1205,0,862769471,BV1DG4y1k7km,965190750,［鬼畜小练习］非自然比武,Schyliang,18,5,0,0,http://i0.hdslb.com/bfs/archive/e05556b54e09bfd1b83d797e899f751bb0347001.jpg,2023/1/14 12:51,1,［鬼畜小练习］非自然比武
1206,0,265325955,BV1WY41197i5,965187154,🍉“我在瓜摊等着你过来”🍉,super特,904,181,15,33,http://i1.hdslb.com/bfs/archive/b7544a167136d07a890fe8a501b4511e20b3f50d.jpg,2023/1/14 12:45,1,🍉“我在瓜摊等着你过来”🍉
1207,0,862797036,BV1TG4y1C7CT,965170523,抄……呸，魔方小卖部第三期,给你香坏了,94,4,0,1,http://i0.hdslb.com/bfs/archive/dc85033eacdf23d127bbfe050d965ead9a19dd12.jpg,2023/1/14 12:27,1,抄……呸，魔方小卖部第三期
1208,0,350323073,BV1dR4y1Y7SQ,965079322,🍉众里寻瓜千百度🍉,小杨才露丢丢角,3305,424,195,105,http://i2.hdslb.com/bfs/archive/9160aec90d7b6aac5cac2caa58b60025ed7924f1.jpg,2023/1/14 12:08,1,🍉众里寻瓜千百度🍉
1209,0,947795210,BV11W4y137iy,964237435,【大司马】如果在十八，奶油小僧了解下⚡,芜湖小佐助,33351,2442,432,192,http://i0.hdslb.com/bfs/archive/d2e7395a49d175350d57ae304f609be05133bf10.jpg,2023/1/14 12:00,1,【大司马】如果在十八，奶油小僧了解下⚡
1210,0,522709075,BV1iM411h7bn,960855084,Running in the Dark - jiafei (Cover: MONKEY MAJIK),尘寰小地才,54,7,2,2,http://i0.hdslb.com/bfs/archive/8d3e57cf0beaf659402a1d5827a086699e1b673c.jpg,2023/1/14 12:00,1,Running in the Dark - jiafei (Cover: MONKEY MAJIK)
1211,0,265355027,BV1pY41197ep,964941738,【金坷垃】poker face,简洛悠,290,32,11,7,http://i1.hdslb.com/bfs/archive/d906ab866eb6ec9141131d39a606c08ab93525e9.jpg,2023/1/14 12:00,1,【金坷垃】poker face
1212,0,307777497,BV1kA411d7LZ,965111395,【一鸡依世界】  坤坤✘老冯,DERRY22,154,14,4,2,http://i1.hdslb.com/bfs/archive/78dcda9bef662873dd7edaa3777e3e8901a88d44.jpg,2023/1/14 11:51,1,【一鸡依世界】  坤坤✘老冯
1213,0,905368691,BV1BP4y1k7mF,964736156,【昊京】正 道 的 光,Nahida丶327,477,34,6,6,http://i2.hdslb.com/bfs/archive/32ba1c637df8f0498dc15b526f9a3cd51d977f43.jpg,2023/1/14 11:45,1,【昊京】正 道 的 光
1214,0,607862805,BV1y84y1h76G,964499848,【昊京】精忠报国,爱之似卜象雪豹,1924,246,28,47,http://i1.hdslb.com/bfs/archive/b951adec358f0a78e2332b3ecae19db246174a68.jpg,2023/1/14 11:45,1,【昊京】精忠报国
1215,0,565294734,BV1wv4y117TW,964829788,【战鹰】等你下棋,开摆摆摆丶,9831,666,179,76,http://i1.hdslb.com/bfs/archive/ef1d38e0375ba317a142dce61e00496f39f8186f.jpg,2023/1/14 11:45,1,【战鹰】等你下棋
1216,0,222827594,BV1V8411A7Qe,965070293,“如果在十八，他没有劈你瓜”,派大晞,1525,166,24,28,http://i0.hdslb.com/bfs/archive/3ce9f4098f3dfdb3d7553b0f03c6c33ce40528f1.jpg,2023/1/14 11:21,1,“如果在十八，他没有劈你瓜”
1217,0,392792373,BV15d4y1L7AS,964869596,虚拟电棍：若能化作星座,AI电棍,53201,2014,492,847,http://i2.hdslb.com/bfs/archive/d7aca5204e55ede03c2807c3e8399614e7588e83.jpg,2023/1/14 11:00,1,虚拟电棍：若能化作星座
1218,0,650369360,BV1te4y1F7cH,965015316,你干嘛，但每叫一次就减速（同时变调）,疲惫的柚子,265,13,0,1,http://i2.hdslb.com/bfs/archive/e78bd26d90c05a4d876b0eeedb38be8e8d24fbaa.jpg,2023/1/14 10:44,1,你干嘛，但每叫一次就减速（同时变调）
1219,0,392839823,BV1Jd4y1L7ep,965014574,【惊郝醉】“跟我拼有实力吗？年轻人太_____！”,涅槃的贝吉塔,166,22,5,6,http://i1.hdslb.com/bfs/archive/f5a9ea2245aa6cf678b38d3e16bfee6db0142509.jpg,2023/1/14 10:41,1,【惊郝醉】“跟我拼有实力吗？年轻人太_____！”
1220,0,435357528,BV163411Z7CJ,964983936,⚡山 只 小 猪⚡,小汪君の,359,20,6,6,http://i2.hdslb.com/bfs/archive/6264acaba2ec2d3ec942a6a813166700af33f47f.jpg,2023/1/14 10:35,1,⚡山 只 小 猪⚡
1221,0,947598900,BV14W4y1V7KJ,959956849,【岳不群 】以父之名（我的裆部刻着一道孤独）,up慕容凌,10795,647,237,103,http://i2.hdslb.com/bfs/archive/bd9f9f9ea436aed17dc72d837ec40f06fff2f02b.jpg,2023/1/14 10:05,1,【岳不群 】以父之名（我的裆部刻着一道孤独）
1222,0,947860586,BV1KW4y1G7Fk,964403838,“⚡乌溜溜的黑眼珠，和你的皮燕⚡”,关东神键局菊座,26592,1737,677,304,http://i1.hdslb.com/bfs/archive/039f515434e07b5da5ff3fbb1c0b0d9b9b25f548.jpg,2023/1/14 10:00,1,“⚡乌溜溜的黑眼珠，和你的皮燕⚡”
1223,0,265296306,BV1LY41197pD,964811495,“如果在十八，华强在劈我____”,枫青衡,15454,913,93,189,http://i1.hdslb.com/bfs/archive/a4144646fc736b5e159a4fbde64b0d8594cd29ae.jpg,2023/1/14 10:00,1,“如果在十八，华强在劈我____”
1224,0,435348438,BV1t3411Z7Uy,964432352,【东百】⚡财 神 到⚡,桥北小书生,43900,3600,770,978,http://i2.hdslb.com/bfs/archive/c640b47f4dc867472cf3774384fc5a499e12f7dc.jpg,2023/1/14 9:30,1,【东百】⚡财 神 到⚡
1225,0,777762070,BV1314y1g7KR,964924002,❁不是因为说不就不想你,Cat不深情,96,6,4,1,http://i0.hdslb.com/bfs/archive/c360bf25f783812c55efa02212c109fbab8bf33b.jpg,2023/1/14 8:58,1,❁不是因为说不就不想你
